,No.,Code,Nama,Tanggal Pencatatan,Saham,Papan,Code-Nama
188,189,CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,4458352920,Utama,Catur Sentosa Adiprana Tbk. (CSAP)
189,190,CSIS,Cahayasakti Investindo Sukses,10 Mei 2017,1307000000,Pengembangan,Cahayasakti Investindo Sukses (CSIS)
190,191,CSMI,Cipta Selera Murni Tbk.,2020-04-09 00:00:00,816061500,Pengembangan,Cipta Selera Murni Tbk. (CSMI)
191,192,CSRA,Cisadane Sawit Raya Tbk.,2020-01-09 00:00:00,2050000000,Utama,Cisadane Sawit Raya Tbk. (CSRA)
192,193,CTBN,Citra Tubindo Tbk.,1989-11-28 00:00:00,800371500,Utama,Citra Tubindo Tbk. (CTBN)
193,194,CTRA,Ciputra Development Tbk.,1994-03-28 00:00:00,18560303397,Utama,Ciputra Development Tbk. (CTRA)
194,195,CTTH,Citatah Tbk.,1996-07-03 00:00:00,1230839821,Pengembangan,Citatah Tbk. (CTTH)
195,196,DADA,Diamond Citra Propertindo Tbk.,2020-02-14 00:00:00,7178140008,Pengembangan,Diamond Citra Propertindo Tbk. (DADA)
196,197,DART,Duta Anggada Realty Tbk.,08 Mei 1990,3141390962,Utama,Duta Anggada Realty Tbk. (DART)
197,198,DAYA,Duta Intidaya Tbk.,2016-06-28 00:00:00,2420547025,Pengembangan,Duta Intidaya Tbk. (DAYA)
